stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08543] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08543] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08544] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08545] added dtor for sample_instance 02C2C1C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08546] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08546] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08547] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08547] added dtor for sample_instance 02C2CC18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08548] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08549] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08549] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08550] added dtor for sample_instance 02C2CDF8, func 61DBB8F3
